"asn","name","source"
10183,"Korea Culture Information Service Agency","APNIC"
10184,"Korean Federation of Community Credit Cooperatives","APNIC"
10185,"Hana Bank","APNIC"
10186,"Korean Red Cross","APNIC"
10187,"Korea Information Society Developement Institute","APNIC"
10188,"Songdo Chadwick international School","APNIC"
10189,"Hyundai Movex","APNIC"
10190,"Joongbu University","APNIC"
10191,"SEEGENE MEDICAL FOUNDATION","APNIC"
10192,"kiwoom Securities.co","APNIC"
10193,"BUSANBANK","APNIC"
10194,"Doosan Enerbility","APNIC"
10195,"HAIonNet","APNIC"
10196,"KOOKMIN BANK","APNIC"
10197,"Chonnam National University","APNIC"
10198,"Catholic University of Pusan","APNIC"
10199,"Tata Communications","APNIC"
10200,"The Digital Lab 2007","APNIC"
10201,"Dishnet Wireless","PeeringDB"
10202,"BOC International Holdings","APNIC"
10203,"DATACOM SYSTEMS (AU)","APNIC"
10204,"Arcnet","PeeringDB"
10205,"ON.CC","APNIC"
10206,"China Unicom Zhongwei Cloud","APNIC"
10207,"Intervolve","APNIC"
10208,"THENET","PeeringDB"
10209,"Synopsys","APNIC"
10210,"Over the Wire","APNIC"
10211,"iBasis (Hong Kong)","APNIC"
10212,"China Enterprise ICT Solutions","APNIC"
10213,"AAPT","APNIC"
10214,"Pentanet","PeeringDB"
10215,"Microland","APNIC"
10216,"AAPT","APNIC"
10217,"NTT Indonesia","PeeringDB"
10218,"SingTel Optus","APNIC"
10219,"Skymedia Corporation","PeeringDB"
10220,"PT. Kreasi Sejahtera Teknologi","APNIC"
10221,"SingTel Optus","APNIC"
10222,"Multibyte Info Technology","PeeringDB"
10223,"UeComm","APNIC"
10224,"PH ICT (Information Communication Technologies)","APNIC"
10225,"Nettlinx","PeeringDB"
10226,"ETL Company","PeeringDB"
10227,"Office of Info.Tech. Admin. for Educational Development","APNIC"
10228,"Yahoo","APNIC"
10229,"Yahoo","APNIC"
10230,"Yahoo","APNIC"
10231,"Tech-trans Telecom","APNIC"
10232,"IXTech","APNIC"
10234,"Zurich Financial Services Australia","APNIC"
10235,"National Australia Bank","APNIC"
10236,"AXA Technology Services Asia","PeeringDB"
10237,"SingTel Optus","APNIC"
10238,"CyberChannel International","APNIC"
10239,"Bharti Airtel","APNIC"
10240,"The Motley Fool","DB-IP"
10242,"US Internet","PeeringDB"
10247,"Netline (Pty)","AFRINIC"
10248,"Blue Ridge Bankshares","PeeringDB"
10249,"RedZone Wireless","DB-IP"
10250,"INet Solutions","DB-IP"
10255,"Cambridge Bandwidth Consortium","PeeringDB"
10262,"Improtech","AFRINIC"
10264,"Scotia McLeod","DB-IP"
10265,"Seneca College of Applied Arts and Technology","DB-IP"
10269,"Belize Telemedia","PeeringDB"
10271,"Meganet Communications","DB-IP"
10273,"Florida Power & Light Company","DB-IP"
10277,"Ministerio de Cultura y Educacion","DB-IP"
10278,"Cable & Wireless (Barbados)","DB-IP"
10279,"West Carolina Communications","PeeringDB"
10282,"Orange Business Services Central Europe","PeeringDB"
10292,"CWJ-1","PeeringDB"
10294,"Coast Community College District","DB-IP"
10297,"eNET","PeeringDB"
10298,"CACI Inc., Federal","DB-IP"
10299,"EMPRESAS MUNICIPALES DE CALI","PeeringDB"
10302,"NEGIA","PeeringDB"
10307,"LIME","PeeringDB"
10308,"Northeastern Illinois University","DB-IP"
10309,"County of Marin","DB-IP"
10310,"Yahoo!","PeeringDB"
10314,"WorldPath","PeeringDB"
10317,"Cuc International","DB-IP"
10318,"Telecom Argentina","LACNIC"
10320,"Internet Services Provider Network","DB-IP"
10322,"Ercot Independent System Operations","DB-IP"
10325,"Ingram Micro","DB-IP"
10326,"Worcester Polytechnic Institute","PeeringDB"
10329,"CoreLAN Communications","DB-IP"
10331,"Metropolitan Health Corporate","AFRINIC"
10340,"TELE-TECH","DB-IP"
10343,"National Aeronautics and Space Administration","DB-IP"
10348,"High Technology Development Corporation","DB-IP"
10349,"Tulane University","DB-IP"
10351,"Enertron L.L.C","DB-IP"
10352,"Solarus","ARIN"
10355,"Digital Service Consultants","PeeringDB"
10357,"James Madison University","DB-IP"
10358,"ANCENT GROUP","APNIC"
10359,"Epic Systems Corporation","DB-IP"
10360,"AARP","DB-IP"
10361,"Bloomberg","PeeringDB"
10362,"UBIK DO BRASIL SOL TECNOLOGIA","PeeringDB"
10364,"The University of Alabama in Huntsville","PeeringDB"
10367,"FiberCast","PeeringDB"
10370,"Northwest Airlines","DB-IP"
10377,"Sound Choice Communications","DB-IP"
10379,"Deluxe Corporation","DB-IP"
10381,"Southwest Cyberport","PeeringDB"
10384,"Tennessee Valley Authority","DB-IP"
10386,"VoyageurWeb","PeeringDB"
10388,"NETinc","DB-IP"
10390,"Fiserv Solutions","DB-IP"
10391,"InteRed Panama Route Servers","PeeringDB"
10392,"New Source Broadband","DB-IP"
10393,"Dimension Data","AFRINIC"
10396,"Claro Puerto Rico","PeeringDB"
10397,"Momentum Telecom","PeeringDB"
10400,"Toronto Star","DB-IP"
10402,"Harrison School District Two","DB-IP"
10405,"Union Pacific Railroad Company","DB-IP"
10406,"Tektronix","ARIN"
10411,"Environmental Systems Research Institute","PeeringDB"
10412,"CIA. DE TECNOL. DA INFOR. E COMUNICAÇÃO DO PARANÁ","PeeringDB"
10417,"Fundação de Desenvolvimento da Pesquisa","PeeringDB"
10420,"Banco de Mexico","LACNIC"
10421,"Texas Tech University","DB-IP"
10423,"STELLAR Broadband","PeeringDB"
10429,"TELEFÔNICA BRASIL","PeeringDB"
10430,"Washington State K-20 Telecommunications Network","PeeringDB"
10436,"Instituto Tecnológico y de Estudios Superiores de Monterrey","LACNIC"
10439,"CARI.net - Fiber Alley Data Centers","PeeringDB"
10440,"Merkle","DB-IP"
10441,"Jacobs Engineering Group","DB-IP"
10444,"ZB, National Association","DB-IP"
10445,"Huntleigh Telcom","DB-IP"
10448,"VILLANOVA-UNIV","PeeringDB"
10453,"CREATIVE NETWORK INNOVATIONS","DB-IP"
10455,"Nokia of America","PeeringDB"
10457,"Refinitiv US","DB-IP"
10458,"Juniper Networks (NoAM Lab)","PeeringDB"
10461,"Eze Castle Software","DB-IP"
10464,"OneNeck Cedar Falls","PeeringDB"
10465,"Aerioconnect Alt 1","ARIN"
10466,"MAGPI","PeeringDB"
10469,"The Ridgefield Group","DB-IP"
10474,"Optinet, South Africa","PeeringDB"
10476,"Cable Onda","LACNIC"
10479,"Instituto Tecnológico y de Estudios Superiores de Monterrey","LACNIC"
10481,"PRIMA","PeeringDB"
10482,"Shaw Communications","DB-IP"
10488,"TFM Associates","DB-IP"
10489,"Convergent Internet Solutions","PeeringDB"
10490,"Southern Crossroads (SoX)","PeeringDB"
10493,"Grand Central Networks","DB-IP"
10494,"Accurate Automation","PeeringDB"
10497,"The World Bank Group","DB-IP"
10499,"Rochester Gas and Electric Corporation","DB-IP"
10505,"Dockside Internet (PTY)","AFRINIC"
10506,"Evergreen Public Schools","DB-IP"
10507,"Sprint Personal Communications Systems","DB-IP"
10508,"University of Arkansas","DB-IP"
10511,"CC Services","DB-IP"
10515,"VeriSign","ARIN"
10524,"GOYA DE PUERTO RICO","DB-IP"
10531,"Terra Networks Brasil","DB-IP"
10532,"Rackspace Hosting","DB-IP"
10538,"TelAlaska","PeeringDB"
10540,"InfoDOOR","AFRINIC"
10544,"NetGain Technologies","DB-IP"
10545,"Lynchburg College","DB-IP"
10546,"Mississippi State University","PeeringDB"
10551,"Monument Health Rapid City Hospital","DB-IP"
10554,"WESTERN UNIVERSITY OF HEALTH SCIENCES","DB-IP"
10557,"Connect Northwest","PeeringDB"
10558,"Biola University","DB-IP"
10560,"Instituto Tecnológico y de Estudios Superiores de Monterrey","LACNIC"
10561,"BRANDEIS","PeeringDB"
10563,"Rochelle Municipal Utilities","DB-IP"
10564,"ROCKET SOFTWARE","DB-IP"
10565,"Silicon Valley Colocation","PeeringDB"
10566,"Viagenie","PeeringDB"
10569,"Red CENIAInternet","DB-IP"
10575,"Connectivity Internet","AFRINIC"
10578,"Northern Crossroads","PeeringDB"
10583,"Connecticut Hospital Assoc","DB-IP"
10584,"TradeWeb","DB-IP"
10586,"OSI de Guatemala","DB-IP"
10587,"Fiberpipe","PeeringDB"
10594,"Cutting Edge Communications","PeeringDB"
10595,"Mauswerks","DB-IP"
10596,"Jet.Net Internet Services","DB-IP"
10599,"McKesson Corp","DB-IP"
10602,"The Diamond Lane","DB-IP"
10615,"UBS","PeeringDB"
10616,"National Technical Information Service","DB-IP"
10617,"Sion","PeeringDB"
10620,"Telmex Colombia","LACNIC"
10625,"Intercontinental Exchange","DB-IP"
10631,"Georgia State University","PeeringDB"
10632,"Puget Sound Energy","DB-IP"
10634,"iNET Computers","DB-IP"
10640,"DATANET South America","PeeringDB"
10647,"Nicholas Applegate","DB-IP"
10653,"USAI.NET","PeeringDB"
10654,"Connections Communications","PeeringDB"
10655,"BUREAU OF NATIONAL AFFAIRS","DB-IP"
10660,"SYSNET Communications","DB-IP"
10661,"Steadfast Financial LP","DB-IP"
10662,"Norfolk Southern Corporation","DB-IP"
10666,"Allergan","DB-IP"
10668,"Lee Enterprises, Incorporated","DB-IP"
10670,"PRODEMGE - Companhia de Tecnologia da Informacao do Estado Minas Gerais","PeeringDB"
10671,"Comision Nacional de Actividades Espaciales","DB-IP"
10674,"GRUCom","PeeringDB"
10676,"IBM","DB-IP"
10678,"The Higher Technology (THT.net)","PeeringDB"
10680,"Indiana University","DB-IP"
10685,"A5.COM","DB-IP"
10688,"ISM AUTOMACAO","DB-IP"
10689,"Fox Valley Internet","DB-IP"
10690,"NETSCOUT SYSTEMS","DB-IP"
10692,"DLS Internet Services","DB-IP"
10694,"Monster Worldwide","DB-IP"
10695,"Wal-Mart Stores","DB-IP"
10697,"Interlink SRL","PeeringDB"
10700,"TECINFO","DB-IP"
10701,"Fiber Plus","DB-IP"
10702,"Idaho National Laboratory","DB-IP"
10704,"Microlink Telecom","PeeringDB"
10706,"YUVOX S.A DE C.V","LACNIC"
10708,"SelectNet Internet Services","DB-IP"
10715,"Universidade Federal de Santa Catarina","PeeringDB"
10717,"Scholastic","DB-IP"
10718,"CNO Financial Group","DB-IP"
10721,"The Andersons","DB-IP"
10723,"Meritage Group LP","DB-IP"
10725,"Genentech","PeeringDB"
10730,"Syndeo Networks","DB-IP"
10732,"TierraNet","DB-IP"
10733,"DC MATRIX INTERNET S/A","PeeringDB"
10745,"ARIN","PeeringDB"
10747,"Epic Hosting","PeeringDB"
10750,"Mark Twain Rural Telephone","PeeringDB"
10753,"Level 3 Communications","DB-IP"
10754,"Federal Reserve Board","DB-IP"
10755,"Dartmouth","ARIN"
10759,"Infraswitch","PeeringDB"
10764,"National Center for Supercomputing Applications","DB-IP"
10765,"CloudNet","DB-IP"
10778,"MCL Internet","PeeringDB"
10780,"Pure Storage","PeeringDB"
10782,"HP","DB-IP"
10786,"Chartway Federal Credit Union","DB-IP"
10788,"CDW","DB-IP"
10790,"Lazard Freres &","DB-IP"
10794,"Bank of America, National Association","DB-IP"
10796,"Charter Communications","PeeringDB"
10798,"Standard Bank of South Africa","PeeringDB"
10801,"REGIONS FINANCIAL CORPORATION","DB-IP"
10803,"The Immedia Ecosystem","PeeringDB"
10806,"AGENCE FRANCE PRESSE","DB-IP"
10807,"Hitachi Business International","APNIC"
10808,"The Globe and Mail","DB-IP"
10809,"NCIA","PeeringDB"
10812,"University of Texas System","DB-IP"
10818,"Fullnet Communications","DB-IP"
10819,"IFWORLD","DB-IP"
10821,"The Pioneer Telephone Association","DB-IP"
10823,"NetCarrier","DB-IP"
10834,"Telefonica Empresas","PeeringDB"
10835,"Visionary Communications","PeeringDB"
10837,"Wells Fargo & Company","DB-IP"
10838,"Charter Communications","DB-IP"
10840,"Health and Welfare Agency Data Center","PeeringDB"
10843,"Advanced Internet Technologies","DB-IP"
10844,"Vastnet Corp","DB-IP"
10846,"Deere & Company","DB-IP"
10847,"Podernet, S.A. de C.V","DB-IP"
10848,"NTT DATA Services - HCLS Cloud","PeeringDB"
10849,"Dallas College","ARIN"
10851,"St Johns County BOCC","DB-IP"
10855,"AUTO BY TEL","DB-IP"
10857,"JCPenney","DB-IP"
10858,"Hypertherm","DB-IP"
10859,"General Dynamics Information Technology","DB-IP"
10865,"Services Internet Abacom","DB-IP"
10867,"Foothill-DeAnza Community College District","DB-IP"
10868,"DownCity","DB-IP"
10875,"FUNDACAO DE APOIO DA UNIVERSIDADE FEDERAL","PeeringDB"
10879,"Unitedhealthcare","PeeringDB"
10880,"Oath Holdings","DB-IP"
10881,"PoP-PR/RNP","PeeringDB"
10882,"Clarity Connect","DB-IP"
10886,"Mid-Atlantic Crossroads (MAX)","PeeringDB"
10893,"NYT-EWR1","PeeringDB"
10895,"Telecom Argentina","LACNIC"
10896,"Verifone","DB-IP"
10897,"Camara dos Deputados","DB-IP"
10898,"Bandwidth International (Pty)","AFRINIC"
10899,"Caris Life Sciences","DB-IP"
10901,"TERABIT.NET","PeeringDB"
10905,"Mobile Technology Ventures","DB-IP"
10906,"NIC.BR b.dns.br","PeeringDB"
10908,"CloudfloorDNS","DB-IP"
10909,"SkeeWave","PeeringDB"
10912,"Internap Holding","DB-IP"
10913,"Internap Holding","DB-IP"
10915,"CQL Incorporated","DB-IP"
10916,"First Volunteer Bank","DB-IP"
10919,"Troy Corporation","DB-IP"
10920,"John Paul the Great Catholic University","DB-IP"
10921,"Commonwealth of KentuckyDepartment of Information Systems","DB-IP"
10925,"Snowbound Software Corporation","PeeringDB"
10929,"eStruxture","PeeringDB"
10930,"Nova Internet Services","DB-IP"
10933,"ATX Communications","PeeringDB"
10934,"JPMorgan Chase &","DB-IP"
10935,"RLC INTERNET","DB-IP"
10936,"Marnell Corrao Assoc","DB-IP"
10938,"AGENCIA ESTADUAL DE TECNOLOGIA DA INFORMACAO - ATI","DB-IP"
10939,"Paxton Media Group","DB-IP"
10943,"OLD REPUBLIC NATIONAL TITLE INSURANCE","DB-IP"
10944,"Association of Bay Area Governments","DB-IP"
10945,"ROI Solutions","DB-IP"
10946,"Network Time Foundation","PeeringDB"
10947,"Mountain West Technologies","PeeringDB"
10949,"Smart City Networks, L.P","DB-IP"
10951,"MGA ENTERTAINMENT","DB-IP"
10952,"East Fifth Street","ARIN"
10953,"Exelon Corporation","DB-IP"
10954,"SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO","PeeringDB"
10955,"WILLIAM PATERSON UNIVERSITY","DB-IP"
10958,"Royell Communications","PeeringDB"
10959,"Bank of America, National Association","DB-IP"
10961,"Boston GigaPoP","PeeringDB"
10962,"Cerner Corporation","DB-IP"
10963,"PROTERRA","DB-IP"
10964,"Banco Credicoop Cooperativo Limitado","DB-IP"
10965,"MRNET","PeeringDB"
10966,"Alaska Airlines","DB-IP"
10967,"The Home Depot","PeeringDB"
10968,"Cargill Incorporated","DB-IP"
10969,"Transcendent","DB-IP"
10970,"LightEdge Solutions","PeeringDB"
10971,"100 Redbud Rd","ARIN"
10972,"Memorial University, NF CAnet 2 gigaPOP","DB-IP"
10973,"Scatter Creek InfoNet","PeeringDB"
10974,"CUsource","DB-IP"
10975,"American International Group Data Center","DB-IP"
10979,"INSURANCE COMPANY OF THE WEST","DB-IP"
10980,"STAFFORD","PeeringDB"
10982,"TiVo","DB-IP"
10983,"Telecom Argentina","LACNIC"
10984,"Uniti Fiber Holdings","DB-IP"
10985,"Curtis Instruments","DB-IP"
10986,"PULSAR CONSULTING S.R.L","DB-IP"
10988,"College of Western Idaho","DB-IP"
10990,"1002 Hemphill Ave NW","ARIN"
10991,"Capgemini U.S","DB-IP"
10993,"Aerioconnect","PeeringDB"
10995,"PNC Bank N.A","DB-IP"
10996,"VIF Internet","PeeringDB"
10998,"Bank of America, National Association","DB-IP"
11003,"The Procter and Gamble Company","DB-IP"
11005,"Downingtown Area School District","DB-IP"
11006,"HRTec","DB-IP"
11008,"NETVERK","PeeringDB"
11009,"Carlow University","DB-IP"
11010,"Invero","PeeringDB"
11012,"The Digital Design Company","DB-IP"
11013,"WideOpenWest Finance","DB-IP"
11014,"CPS","PeeringDB"
11015,"Texas Children's Hospital","DB-IP"
11017,"Cisco Public Sector Network","PeeringDB"
11019,"HAPROXY-TECHNOLOGIES","PeeringDB"
11020,"Quantum Networking Solutions","PeeringDB"
11023,"System Source","DB-IP"
11025,"Comcast Cable Communications","DB-IP"
11030,"Qualcomm","PeeringDB"
11031,"Orbis Investments (Canada)","DB-IP"
11032,"Universite du Quebec","DB-IP"
11035,"The Raymond F. Kravis Center for the Performing Arts","DB-IP"
11036,"Signal Perfection","DB-IP"
11038,"Salish Networks","PeeringDB"
11039,"The George Washington University","PeeringDB"
11042,"NETWORK TRANSIT HOLDINGS","PeeringDB"
11043,"Kaloom","ARIN"
11045,"Sterling Communications","PeeringDB"
11046,"Little Apple Technologies","PeeringDB"
11047,"Hartford Hospital","ARIN"
11048,"DigitalStakeout","DB-IP"
11049,"Oracle Corporation","DB-IP"
11050,"Kent State University","DB-IP"
11051,"Cyberverse","PeeringDB"
11052,"Intermountain Health Care","DB-IP"
11054,"LivePerson","DB-IP"
11055,"Midcontinent Communications","DB-IP"
11056,"Berger Montague","DB-IP"
11057,"J. Walter Thompson","DB-IP"
11058,"Cabase BUE RS","PeeringDB"
11059,"6395 State Route 103 North","ARIN"
11061,"Antelecom","DB-IP"
11062,"MTCO-COMMUNICATIONS","PeeringDB"
11066,"XPO LOGISTICS","DB-IP"
11067,"PTSINET","PeeringDB"
11068,"Hanna, Brophy, MacLean, McAleer & Jensen, L.L.P","DB-IP"
11069,"Cincinnati Bell","ARIN"
11070,"Metanet Communications","DB-IP"
11071,"InfoWest","PeeringDB"
11072,"Redflex Traffic Systems","DB-IP"
11073,"Minnesota Public Radio","DB-IP"
11074,"Sidera Networks","DB-IP"
11076,"COMMUNITY COMPUTER SERVICE","DB-IP"
11077,"XBASE Technologies","PeeringDB"
11078,"Brown University","DB-IP"
11079,"Allstream Corp","DB-IP"
11080,"Yellowknife Wireless Company","PeeringDB"
11081,"United Telecommunication Services UTS","PeeringDB"
11082,"Eastman Chemical Company","DB-IP"
11083,"Ocean Fund International","LACNIC"
11084,"Huron Telecommunications Cooperative","PeeringDB"
11086,"Pitney Bowes Incorporated","DB-IP"
11087,"Comision Federal de Electricidad","LACNIC"
11088,"iConnect","DB-IP"
11089,"ERGON","DB-IP"
11090,"Matanuska Telephone Association","PeeringDB"
11092,"Hevanet","DB-IP"
11093,"Dataway","DB-IP"
11094,"Rutgers, The State University of New Jersey","ARIN"
11096,"Florida LambdaRail","PeeringDB"
11097,"EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA","DB-IP"
11098,"SBC Communications","DB-IP"
11101,"Prisma Health","DB-IP"
11102,"VYANET","DB-IP"
11105,"Simon Fraser University","DB-IP"
11106,"Wolfram Research","DB-IP"
11109,"State of Alabama","PeeringDB"
11110,"MOJOHOST","DB-IP"
11114,"Wintek Corporation","PeeringDB"
11115,"Online Tech","DB-IP"
11116,"OnlyInternet","PeeringDB"
11118,"ComTeck","DB-IP"
11120,"WidePoint Integrated Solutions Corp","DB-IP"
11121,"Fiserv Solutions","DB-IP"
11123,"Ultimate Internet Access","PeeringDB"
11124,"Friedkin Companies","DB-IP"
11125,"Sanlam Life Insurance","AFRINIC"
11126,"Carle Clinic Association","ARIN"
11128,"Berry College","DB-IP"
11131,"University of Maryland Baltimore County (UMBC)","ARIN"
11132,"JDA eHealth Systems","DB-IP"
11133,"Sorenson Communications","DB-IP"
11134,"WebFire Internet Services","DB-IP"
11135,"Cross Development/Montgomery LP","DB-IP"
11136,"Instituto Tecnológico y de Estudios Superiores de Monterrey","LACNIC"
11138,"BEK Communications Cooperative","DB-IP"
11139,"CWDOM","PeeringDB"
11140,"Behr Process","DB-IP"
11142,"Precision Data Solutions, LLC (PDS Connect)","PeeringDB"
11144,"Advent Software","DB-IP"
11152,"Waverly Hall Telephone","PeeringDB"
11155,"DE LightSpeed","DB-IP"
11157,"Electronic laboratory Services","AFRINIC"
11158,"NTT America","DB-IP"
11159,"Los Angeles Public Library","DB-IP"
11160,"COSTAR GROUP","DB-IP"
11161,"DigitalVirt","DB-IP"
11162,"Los Nettos","DB-IP"
11164,"Internet2 I2PX","PeeringDB"
11165,"Toppan Photomasks","DB-IP"
11166,"J2 Cloud Services","DB-IP"
11167,"Gogo Business Aviation","DB-IP"
11168,"SMART CHOICE COMMUNICATIONS","DB-IP"
11170,"Roller Network","PeeringDB"
11171,"Autonation","DB-IP"
11172,"Alestra","PeeringDB"
11173,"NMIX","PeeringDB"
11174,"Athena Health","PeeringDB"
11176,"Smart City Networks, L.P","DB-IP"
11177,"Dominion Energy Services","DB-IP"
11178,"AccessPlus Communications","PeeringDB"
11179,"Aryaka Networks","PeeringDB"
11180,"TierPoint","DB-IP"
11181,"Vaxxine Computer Systems","DB-IP"
11183,"Mount Horeb Telephone","DB-IP"
11185,"DreamHack","PeeringDB"
11187,"HVENS","PeeringDB"
11188,"LOS ANGELES COUNTY - INTERNAL SERVICESDIVISION","DB-IP"
11189,"Caliber Home Loans","DB-IP"
11190,"Silicon Connections","PeeringDB"
11191,"Cal.net","PeeringDB"
11192,"Smart City Networks, L.P","DB-IP"
11193,"Datco Soluciones","PeeringDB"
11194,"NuNet","DB-IP"
11195,"Whiz to Coho","PeeringDB"
11197,"Dartmouth-Hitchcock Medical Center","DB-IP"
11198,"Schneider Electric IT Corporation","DB-IP"
11199,"showNets","DB-IP"
11200,"Regis University","DB-IP"
11203,"Matrix Broadband","DB-IP"
11204,"Kings Park Central School District","DB-IP"
11205,"City of Philadelphia","DB-IP"
11206,"Ferris State University","DB-IP"
11207,"Boston Globe Media Partners","DB-IP"
11208,"HALL CAPITAL PARTNERS","DB-IP"
11211,"NCIC Operator Services","DB-IP"
11212,"COUNTY OF SONOMA","DB-IP"
11214,"University of North Florida","DB-IP"
11215,"LOGIXCOMM","PeeringDB"
11217,"Carter Ledyard & Milburn LLP","DB-IP"
11218,"Ted Moudis Associates","DB-IP"
11219,"James R. Glidewell Dental Ceramics","DB-IP"
11221,"WHRO","DB-IP"
11222,"Polo Ralph Lauren","DB-IP"
11227,"Morningstar","DB-IP"
11228,"ARINC","DB-IP"
11230,"Managed Hosting Services","DB-IP"
11231,"GETTYSBURG COLLEGE","DB-IP"
11232,"Midcontinent Communications","PeeringDB"
11233,"Gorge Networks","PeeringDB"
11235,"Itron-Hosting","DB-IP"
11237,"UNIVERSIDAD EAFIT","DB-IP"
11238,"NetWest Online","DB-IP"
11239,"Skycomp Solutions","DB-IP"
11240,"ATC Broadband","PeeringDB"
11241,"Transera Communications","ARIN"
11242,"PoP-SC/RNP","PeeringDB"
11243,"Advanced Technologies Group","DB-IP"
11245,"The Goodyear Tire & Rubber Company","DB-IP"
11246,"Ailuj","ARIN"
11248,"Multi Service","DB-IP"
11250,"Tri-State Generation and Transmission Association","DB-IP"
11251,"Disney Streaming Origin","PeeringDB"
11252,"Idaho State University","DB-IP"
11255,"Screamin' Banshee Technologies","PeeringDB"
11257,"University of Lethbridge","DB-IP"
11259,"Angola Telecom","PeeringDB"
11260,"Eastlink","PeeringDB"
11262,"W.H. Trading, L.L.C","DB-IP"
11264,"LIQUIDNET HOLDINGS","DB-IP"
11266,"SmugMug","PeeringDB"
11267,"Peirce-Phelps","DB-IP"
11269,"LinkBermuda","PeeringDB"
11270,"TwinStar Credit Union","DB-IP"
11271,"BT Latam Brasil","PeeringDB"
11272,"C Spire Fiber","PeeringDB"
11273,"Fiserv Solutions","DB-IP"
11274,"TierPoint Seattle","PeeringDB"
11275,"National Bank Holdings Corporation","DB-IP"
11276,"DataHUB","DB-IP"
11277,"NiSource Corporate Services Company","DB-IP"
11278,"Nintendo Of America","DB-IP"
11279,"George Mason University","PeeringDB"
11280,"Snappy Internet & Telecom","PeeringDB"
11281,"ROBLOX-CORPORATE","PeeringDB"
11282,"SERVERYOU","DB-IP"
11283,"Costco","DB-IP"
11284,"NIC.BR c.dns.br","PeeringDB"
11285,"K W Corporation","DB-IP"
11286,"KeyBank National Association","DB-IP"
11287,"Mitchell Seaforth CableTV","ARIN"
11288,"InfraDMS","DB-IP"
11290,"Cogeco Connexion","PeeringDB"
11291,"Eplexity","DB-IP"
11293,"University of California - Office of the President","DB-IP"
11294,"Lifetouch","DB-IP"
11296,"Independent Health Association","DB-IP"
11297,"Lipscomb University","DB-IP"
11298,"Renew Data Corp","DB-IP"
11300,"Globecomm Services Maryland","DB-IP"
11301,"TRIJIT Cloud & Datacenter Services","PeeringDB"
11302,"IGT Global Solutions Corporation","DB-IP"
11304,"Blount Memorial Hospital","DB-IP"
11307,"Recreational Equipment","DB-IP"
11309,"International Monetary Fund","DB-IP"
11311,"Sinectis","DB-IP"
11312,"York Telecom Corporation","DB-IP"
11313,"Fannie Mae","DB-IP"
11315,"Telefonica Moviles","PeeringDB"
11317,"Great Plains Network","PeeringDB"
11318,"Georgetown University","DB-IP"
11319,"Deseret Digital Media","DB-IP"
11320,"LightEdge Solutions","PeeringDB"
11322,"Thibodaux Regional Medical Center","DB-IP"
11323,"Getty Images (Seattle)","DB-IP"
11324,"BRFHH SHREVEPORT, L.L.C","DB-IP"
11325,"Altus Communications","DB-IP"
11326,"Eastman Chemical Company","DB-IP"
11327,"NCI Group","DB-IP"
11328,"Bio-Rad Laboratories","DB-IP"
11330,"BankPlus","DB-IP"
11331,"Thomas H. Lee Capital","DB-IP"
11332,"Crestron Electronics","DB-IP"
11333,"CyberTrails","DB-IP"
11334,"MidAmerican Energy Holdings Company","DB-IP"
11336,"Barclays Global Investors","DB-IP"
11337,"Marlabs Incorporated","DB-IP"
11338,"Sky Banda Larga","PeeringDB"
11339,"United Sources of America","DB-IP"
11340,"Red Universitaria Nacional","PeeringDB"
11341,"The Easynet US Network","RIPE"
11342,"Pathway Communications","PeeringDB"
11345,"Akima Management Services","DB-IP"
11347,"ORC","DB-IP"
11348,"Missouri University of Science and Technology","DB-IP"
11350,"NorthWestern Medical Center","DB-IP"
11351,"Charter Communications","DB-IP"
11352,"iomart - North America","PeeringDB"
11353,"Education Service Center Region XI","DB-IP"
11354,"Carolinas Healthcare System","DB-IP"
11355,"Shell Information Technology International","DB-IP"
11356,"Telecom Argentina","LACNIC"
11357,"InfoQuest Technologies","DB-IP"
11359,"Zayo Bandwidth","DB-IP"
11360,"Electronics for Imaging","DB-IP"
11361,"Boscov's Department Store","DB-IP"
11362,"VECTOR","PeeringDB"
11363,"Fujitsu North America","DB-IP"
11364,"Varex Imaging Corporation","DB-IP"
11365,"Credit.com","DB-IP"
11367,"ICENET","PeeringDB"
11369,"INTL FCStone Financial","DB-IP"
11372,"14 W Administrative Services","DB-IP"
11374,"Panterra Networks","DB-IP"
11375,"Minneapolis College of Art and Design","DB-IP"
11377,"SendGrid","PeeringDB"
11378,"Stoel Rives LLP","DB-IP"
11379,"Wyndham Hotel Group","DB-IP"
11381,"NEW FRONTIERS INTERNET SERVICES","PeeringDB"
11382,"Wiley Rein LLP","DB-IP"
11383,"TierPoint - Hawthorne NY USA","PeeringDB"
11385,"Nowyr","PeeringDB"
11386,"HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY","DB-IP"
11387,"La Curacao","DB-IP"
11389,"Heritage Capital Corporation","DB-IP"
11392,"Nosis Laboratorio de Investigación y Desarrollo","LACNIC"
11394,"City of Richardson","DB-IP"
11395,"75 College Avenue","ARIN"
11396,"Williams Information Technology","DB-IP"
11397,"River Delta Wireless","DB-IP"
11398,"CenturyLink Communications","DB-IP"
11399,"Williams College","PeeringDB"
11402,"Charlotte Colocation Center","PeeringDB"
11403,"NYI","PeeringDB"
11404,"Wave Division Holdings","PeeringDB"
11406,"CIGNA","PeeringDB"
